iteration,train_limit,base_hidden_sizes,final_hidden_sizes,val_error,master_val_error,growth_steps,final_train_loss
1,2000,[8],[16],6.646719840697226,8.258315973604196,1,0.012984204106032848
2,4000,[16],[16],5.524286267454271,5.702400413691162,0,0.011424723081290722
3,6000,[16],[32],5.68530080819641,4.839572118721277,1,0.011547029949724674
4,8000,[32],[32],4.37670319119423,4.1976023433554035,0,0.007446992211043835
5,10000,[32],[128],3.241250426485153,3.3731744594351083,2,0.00859448965638876
6,12000,[128],[128],2.949762077470843,3.324253678884321,0,0.002459716983139515
7,14000,[128],[256],2.466176162354319,2.491416841776783,1,0.002355563687160611
8,16000,[256],[256],2.5306498990783566,2.6503083278572594,0,0.001358621520921588
9,18000,[256],[256],2.4293184938130663,2.798445115826122,0,0.0018241965444758534
