train_size,val_start,val_size,final_train_mse,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
500,500,500,0.0006297877407632768,0.04263760734719428,0.4373229168319065,0.09863451661350818,0.5359574334454146,0.5930753871342762
1000,1000,500,0.0013348759384825826,0.022445386445436217,0.2841563680457674,0.11539926907578195,0.39955563712154935,0.5216217239391508
1500,1500,500,0.0016076434403657913,0.02963885383590512,0.40139087041349364,0.15729325799868663,0.5586841284121803,0.5454744722895948
2000,2000,500,0.002299835905432701,0.028187842106832898,0.39556296562334264,0.1405515763034653,0.536114541926808,0.5256245811378656
2500,2500,500,0.0023882719688117504,0.028278735457494708,0.2909517021871061,0.20099333760244223,0.49194503978954834,0.4733720586027004
3000,3000,500,0.0029518723022192717,0.015104787984570526,0.26551718366113725,0.2116320156483025,0.47714919930943983,0.46429077273331165
3500,3500,500,0.0033476948738098145,0.01706840018542691,0.35854431897842287,0.16342274740904614,0.521967066387469,0.5383626607735448
4000,4000,500,0.0035218922421336174,0.018898851784156394,0.36556474845270776,0.19066846621641415,0.5562332146691219,0.5510538638037117
4500,4500,500,0.0036402668338268995,0.011824214013337522,0.2759585368495599,0.17399742808455887,0.44995596493411877,0.4961904721109489
5000,5000,500,0.0038852605503052473,0.010601335514795456,0.29823450531046225,0.18774220930616467,0.48597671461662695,0.5176052789636637
5500,5500,500,0.004048741422593594,0.005625477481320557,0.18817878315823447,0.12468126876323936,0.3128600519214738,0.5532455320227457
6000,6000,500,0.004110798239707947,0.009744959178977332,0.2898572736494919,0.1805996925514159,0.4704569662009078,0.5720097633171695
6500,6500,500,0.00417371978983283,0.014098159736512107,0.25469632831423394,0.19619581839903588,0.4508921467132698,0.49636294591785396
7000,7000,500,0.00433989567682147,0.008800561471670559,0.22705609182642594,0.19127354946681624,0.41832964129324224,0.4635695355361611
7500,7500,500,0.004389825277030468,0.006564656784661016,0.16303384004600224,0.18383042114524578,0.346864261191248,0.44491996437261433
8000,8000,500,0.00446836743503809,0.0079537242158295,0.22683711475480114,0.20496428017473653,0.4318013949295377,0.524356256852413
8500,8500,500,0.004466067999601364,0.008600371032705133,0.19192833146872063,0.19714497664573963,0.3890733081144602,0.5143751922947367
9000,9000,500,0.00470239482820034,0.01238507544167855,0.27333592117543426,0.1473141426942247,0.420650063869659,0.597514119894384
9500,9500,500,0.004683625418692827,0.007675427724325035,0.213117298118141,0.2523111022287839,0.4654284003469249,0.4639748175406838
10000,10000,500,0.004767778795212507,0.005955995658952883,0.2446264314963439,0.19336610780513916,0.437992539301483,0.5473434662093946
10500,10500,500,0.0048934039659798145,0.004662049903063009,0.18669134017657588,0.10566982817508502,0.2923611683516609,0.6497919760521383
11000,11000,500,0.004776300396770239,0.00892003982505655,0.24805186126884365,0.22074477782550628,0.46879663909434993,0.5208458587666521
11500,11500,500,0.00475839851424098,0.0065066579487598995,0.16725445006153342,0.22339201454232052,0.39064646460385394,0.4630122970885586
12000,12000,500,0.004774106200784445,0.005640095032352764,0.22161555105557357,0.21873567508612074,0.44035122614169436,0.533859283370489
12500,12500,500,0.004838417749851942,0.00927532073820113,0.22869785829446174,0.2055387944272236,0.4342366527216853,0.5173091076232746
13000,13000,500,0.004941511899232864,0.00820818495927014,0.2358396274305475,0.15376501500520273,0.3896046424357502,0.5798948157241468
13500,13500,500,0.004979277029633522,0.008031998241440472,0.19199326104074177,0.20950515693264143,0.4014984179733832,0.5266393688531682
14000,14000,500,0.005130980163812637,0.011086353506051187,0.25044993642618185,0.17926745646957665,0.4297173928957585,0.6064740940420623
14500,14500,500,0.00501020485535264,0.0061181891209621175,0.17350292663684266,0.14134429104990898,0.3148472176867516,0.570252465791734
15000,15000,500,0.0050077843479812145,0.004374552219979047,0.18521093322804633,0.09227641047654898,0.2774873437045953,0.6106541303540013
15500,15500,500,0.004953665193170309,0.007760104119813798,0.2761419460720694,0.18992636819851863,0.466068314270588,0.6111290299109683
16000,16000,500,0.004962414503097534,0.006174012678435144,0.2775265254913081,0.11395042117319773,0.39147694666450583,0.6327185275170469
16500,16500,500,0.0049705710262060165,0.0066138445549948745,0.30230220370846994,0.21128214655630484,0.5135843502647747,0.622704493147329
17000,17000,500,0.004911310039460659,0.007765618766325081,0.24074856977729078,0.24451019213354339,0.4852587619108342,0.5431505243357918
17500,17500,500,0.00508755911141634,0.008910126724181582,0.24372503812732513,0.1943742490646817,0.43809928719200686,0.5781571719706677
18000,18000,500,0.004972842987626791,0.006997006316791201,0.20093584801455103,0.22520175511407337,0.42613760312862436,0.5389578593333447
18500,18500,500,0.005063056014478207,0.004033666042703632,0.17121099110839966,0.14003700494982468,0.3112479960582244,0.6318262755400408
19000,19000,500,0.005068483762443066,0.0072721716322076,0.163923195776267,0.262962529269715,0.426885725045982,0.5009467270335813
19500,19500,500,0.005036484450101852,0.005287277872095932,0.16164207680470186,0.1537705818509881,0.31541265865568996,0.593859432235664
